id,usia,jenis_kelamin,semester,ipk,ab_ee_1,ab_ee_2,ab_ee_3,ab_ee_4,ab_ee_5,ab_cy_1,ab_cy_2,ab_cy_3,ab_cy_4,ab_cy_5,ab_ef_1,ab_ef_2,ab_ef_3,ab_ef_4,ab_ef_5
1,34,0,1,3.14,3,5,1,3,2,1,1,2,1,2,4,5,4,4,4
2,23,1,1,3.18,4,5,4,4,2,1,3,5,4,3,3,3,2,3,3
3,31,0,1,3.18,1,1,1,1,5,1,1,2,1,1,5,5,5,5,3
4,34,0,3,2.78,3,2,2,2,4,3,4,2,2,2,3,3,5,2,2
5,24,1,2,3.62,1,1,1,1,1,3,3,2,2,1,3,4,4,3,3
6,23,1,3,2.81,3,3,3,4,4,4,2,4,3,4,1,1,2,1,2
7,24,1,1,3.22,5,5,4,5,5,5,5,5,5,4,3,4,1,2,2
8,20,0,1,4.0,4,4,3,1,3,2,1,1,2,2,5,5,3,3,5
9,28,1,2,3.1,2,3,4,4,3,1,1,2,1,2,3,4,3,2,3
10,34,0,1,2.71,5,5,5,5,5,2,5,5,4,5,1,3,1,2,1
11,26,0,1,2.73,1,3,3,4,3,3,4,2,3,4,2,3,2,3,2
12,21,0,1,3.54,1,1,2,4,2,4,2,4,2,3,4,4,4,5,5
13,27,0,2,2.7,3,1,2,4,2,2,3,2,4,3,2,5,4,3,2
14,29,0,3,3.21,2,2,1,1,2,3,4,2,3,5,1,2,2,5,2
15,29,1,2,3.1,3,5,4,4,3,2,3,4,4,1,4,5,3,4,3
16,21,1,1,3.1,4,3,5,4,5,1,4,3,2,4,2,2,2,2,2
17,20,1,2,3.73,4,3,2,5,5,2,1,3,2,3,2,4,1,3,3
18,32,0,4,3.4,3,1,1,1,2,1,1,1,1,1,5,5,5,5,4
19,21,1,2,3.56,1,1,1,1,1,1,1,1,2,2,5,5,5,5,5
20,33,0,2,3.43,3,2,2,1,1,3,2,3,3,1,5,3,5,3,5
21,20,1,3,3.78,4,2,4,2,1,4,2,1,5,4,3,3,4,1,2
22,32,0,1,3.3,3,3,4,3,3,1,1,4,3,2,3,2,3,2,5
23,23,1,2,3.36,2,4,4,5,2,2,3,4,5,2,3,5,4,2,4
24,23,1,1,2.9,3,2,4,4,2,4,1,2,3,5,2,4,4,4,4
25,24,1,2,3.48,4,3,4,4,5,2,2,4,4,4,2,2,3,5,2
26,27,1,1,2.94,2,4,4,4,1,1,4,2,4,3,3,2,3,1,3
27,35,0,2,3.39,3,3,2,3,5,4,2,3,2,5,3,2,2,1,4
28,30,1,2,3.0,3,4,5,4,4,5,5,5,4,5,1,1,2,1,1
29,27,1,2,3.46,5,3,5,5,5,5,5,5,5,5,1,1,1,1,3
30,25,1,2,3.32,4,5,5,5,5,4,5,5,4,5,2,2,1,3,2
31,21,0,2,3.04,5,5,5,5,5,4,3,4,2,2,2,2,1,2,1
32,35,1,2,3.29,3,3,3,1,2,4,3,3,3,1,3,4,5,3,5
33,35,1,4,3.42,5,3,5,1,4,5,5,5,5,4,1,1,2,1,1
34,35,0,2,2.91,3,2,3,1,1,3,4,1,1,1,2,3,5,4,4
35,32,0,3,3.55,2,3,1,3,1,1,2,2,2,1,4,5,4,3,5
36,32,0,1,2.87,3,2,2,4,5,5,4,2,4,5,5,5,5,5,5
37,24,1,4,4.0,2,3,2,2,4,3,1,4,2,5,1,4,3,2,3
38,27,1,1,3.3,2,1,2,2,2,2,1,1,2,1,5,4,5,4,5
39,30,1,4,3.36,2,4,1,1,2,2,3,3,1,2,2,4,2,4,2
40,25,1,3,3.24,4,4,4,1,2,5,2,5,5,3,4,3,2,5,5
41,28,1,2,3.61,4,5,5,5,5,4,5,5,5,5,2,2,2,2,2
42,28,0,2,3.03,2,5,3,4,4,4,5,2,4,4,3,2,4,4,2
43,24,1,1,3.24,4,3,3,3,2,5,5,4,2,5,3,1,2,2,3
44,35,1,4,3.48,3,1,3,1,3,3,3,3,3,3,3,3,4,5,3
45,23,1,2,2.68,1,2,3,2,1,4,3,3,4,3,3,2,5,2,5
46,28,0,3,3.34,5,5,4,4,4,4,5,4,5,5,1,1,1,2,1
47,27,1,1,2.48,5,3,3,4,3,4,2,2,3,3,2,4,2,3,2
48,35,1,2,3.65,5,4,3,5,5,3,2,2,2,1,1,2,1,2,3
49,26,1,4,2.87,4,1,2,4,2,4,3,4,2,2,1,4,4,1,2
50,20,1,1,2.92,4,5,5,2,5,3,4,3,2,2,5,4,1,4,5
51,23,0,4,3.2,4,5,4,3,4,2,2,3,3,5,1,1,2,2,2
52,29,0,2,3.54,3,3,2,4,3,2,4,4,4,4,4,2,3,5,2
53,25,1,4,2.85,5,4,5,5,5,5,5,5,5,5,1,1,1,1,1
54,26,1,3,3.33,3,3,4,1,2,1,4,3,3,3,3,2,1,1,3
55,32,0,3,2.95,1,1,1,1,1,1,1,1,1,1,5,4,5,5,4
56,29,1,1,3.7,1,2,1,4,3,2,4,5,2,2,4,1,5,2,3
57,25,0,2,3.1,4,4,3,4,5,4,5,4,4,4,1,1,1,1,1
58,23,0,3,3.42,3,1,2,1,3,3,5,4,5,2,1,2,3,2,3
59,21,0,3,4.0,5,5,4,5,4,5,5,5,5,4,1,1,1,1,1
60,24,0,1,3.5,2,3,4,4,4,4,3,3,4,2,2,3,1,3,1
61,20,0,2,2.2,5,4,4,5,5,3,3,4,4,2,3,3,3,3,1
62,25,0,3,3.18,3,2,2,4,2,5,5,5,5,3,5,4,4,2,4
63,29,1,2,3.83,1,2,1,1,2,2,2,1,1,2,3,3,1,4,4
64,22,1,3,3.82,4,4,5,4,3,1,4,2,3,3,2,4,4,5,4
65,31,1,3,3.68,5,4,5,4,4,4,2,5,3,1,1,2,2,2,1
66,31,0,3,3.48,3,2,2,3,1,3,4,2,5,4,2,4,4,3,5
67,31,0,3,3.25,3,2,3,5,2,3,4,4,4,5,5,5,5,5,2
68,28,1,2,3.71,2,2,2,2,2,5,3,3,4,2,3,2,3,1,2
69,24,1,1,3.9,2,3,1,3,3,3,2,3,3,2,3,3,5,3,5
70,35,1,3,3.62,1,2,1,1,1,1,1,1,2,1,4,2,2,1,3
71,25,1,1,2.81,5,5,5,2,5,5,3,5,5,5,5,3,3,3,3
72,24,0,1,3.14,2,1,1,1,1,1,1,1,2,2,4,4,3,1,4
73,28,1,2,3.74,1,1,3,2,3,1,1,1,2,1,3,4,3,2,2
74,35,1,3,3.81,5,5,5,3,5,3,5,4,5,1,1,1,3,2,1
75,30,1,3,3.01,2,4,2,1,2,2,3,1,2,4,5,2,4,4,2
76,24,0,4,3.56,1,2,1,1,2,1,2,1,4,3,5,3,5,2,3
77,32,1,2,3.35,3,4,3,3,5,4,5,5,1,3,5,5,5,3,3
78,25,0,2,4.0,1,2,1,1,1,3,3,2,5,3,5,5,4,5,3
79,35,1,3,3.59,3,4,4,4,4,5,4,4,3,2,4,4,4,5,3
80,27,0,1,4.0,3,3,5,3,2,3,2,3,3,2,4,4,5,5,5
81,20,1,2,3.5,5,2,4,2,4,5,5,3,5,5,4,4,3,3,4
82,32,0,2,3.59,3,1,1,1,1,2,1,1,3,1,5,5,5,4,4
83,27,0,4,3.59,5,4,5,2,3,2,4,2,3,1,3,3,2,2,1
84,30,0,3,2.88,4,2,3,3,5,2,4,4,3,2,5,5,5,4,5
85,27,0,1,3.65,4,4,5,4,5,3,5,5,4,5,2,2,1,1,1
86,24,1,2,3.33,5,5,5,5,3,4,5,3,5,5,5,2,4,4,2
87,31,1,4,3.25,3,3,3,3,4,5,2,4,5,3,4,3,4,3,5
88,22,0,1,3.19,3,2,2,2,2,3,2,4,3,1,2,2,4,4,1
89,27,1,4,3.73,3,4,4,4,5,4,1,3,1,2,3,1,1,1,4
90,34,1,3,3.59,4,5,5,4,3,2,2,1,2,1,1,1,2,2,4
91,35,1,4,3.63,2,2,4,4,3,4,4,4,3,4,1,1,1,1,2
92,23,1,2,3.65,1,1,2,1,1,5,4,2,5,5,5,4,4,4,5
93,25,1,3,3.54,5,4,4,5,4,5,3,5,5,5,5,4,5,5,2
94,29,0,4,3.44,4,2,2,2,4,3,3,1,1,4,2,1,1,3,1
95,20,1,1,3.08,2,3,3,1,4,2,3,4,3,4,2,1,1,1,1
96,33,1,2,3.48,1,1,3,3,1,2,1,1,1,3,3,1,1,2,1
97,35,1,1,3.4,5,5,2,5,4,4,2,2,4,3,1,4,4,4,4
98,32,0,1,3.34,4,5,5,4,5,5,4,4,3,4,2,1,1,1,3
99,31,0,3,3.19,3,2,5,3,4,3,1,2,3,1,1,2,2,1,1
100,25,1,1,3.05,2,3,4,1,3,4,4,3,3,4,5,2,1,4,3
101,24,0,2,3.31,1,1,1,3,1,2,1,1,2,1,5,5,4,5,5
102,26,0,2,2.94,4,2,1,4,2,3,1,4,4,3,3,4,2,1,4
103,24,1,4,3.34,4,3,2,3,3,5,4,4,5,4,2,2,4,4,4
104,24,0,1,3.23,1,1,1,3,1,2,2,1,1,1,4,4,5,5,3
105,31,1,2,3.63,1,1,2,1,1,1,1,2,2,2,4,3,4,5,1
106,28,1,1,3.05,4,3,4,3,4,2,3,2,2,2,4,3,1,4,5
107,25,1,2,2.81,1,2,2,1,1,2,3,2,4,2,5,5,4,5,5
108,28,1,1,2.35,3,5,4,4,2,1,4,3,1,4,5,4,5,3,5
109,30,1,2,3.52,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1
110,20,1,2,3.74,1,1,3,1,2,1,2,1,1,1,2,4,5,4,3
111,27,0,3,3.3,2,3,2,3,3,1,4,2,2,2,3,2,2,3,4
112,30,1,3,3.31,1,1,1,1,1,1,2,2,3,4,5,5,5,4,5
113,33,1,1,3.63,5,5,5,5,5,5,5,3,5,5,2,3,3,1,2
114,35,0,4,3.02,3,1,2,2,1,3,1,2,3,1,5,5,5,5,5
115,29,1,3,3.73,3,3,5,2,4,4,4,5,3,5,1,3,2,4,4
116,31,0,1,3.91,2,4,4,3,3,5,5,5,4,4,3,4,5,5,1
117,20,0,1,3.18,1,1,1,2,2,3,2,1,2,1,5,5,5,5,5
118,30,0,3,3.28,1,3,3,4,4,4,5,5,2,3,4,2,1,3,2
119,31,0,3,3.28,2,1,1,1,2,1,2,1,4,1,2,1,3,1,2
120,33,0,2,3.48,1,1,2,1,1,2,1,1,2,1,1,3,2,1,2
121,32,1,3,2.8,1,1,1,1,2,1,1,1,1,1,4,3,5,3,4
122,29,1,3,2.97,2,4,5,5,4,3,2,5,4,2,5,2,1,3,3
123,30,0,1,3.25,5,4,3,2,4,2,4,4,5,2,4,3,2,4,3
124,31,0,3,2.9,2,1,1,1,1,1,2,2,1,2,4,4,4,4,5
125,35,0,1,2.4,4,4,2,3,2,4,4,5,3,5,5,2,3,5,4
126,29,1,2,3.46,4,4,3,5,3,3,3,4,3,3,3,4,2,3,3
127,33,0,4,3.71,5,4,5,5,4,4,2,2,4,4,4,5,5,5,4
128,30,1,1,3.46,2,2,1,1,1,2,3,4,3,2,4,5,3,4,4
129,35,0,3,3.01,5,4,4,3,5,5,4,4,5,5,2,1,2,1,1
130,24,1,2,3.35,3,2,3,1,2,5,4,5,5,2,3,3,5,5,5
131,33,0,2,3.29,3,3,1,3,1,1,1,1,1,2,2,3,5,4,5
132,27,0,3,3.35,2,2,3,4,3,2,4,2,1,1,2,3,2,2,1
133,24,1,1,4.0,4,3,2,4,3,2,3,2,5,4,4,1,3,1,3
134,28,1,2,3.14,4,4,3,4,2,5,5,3,4,5,5,5,5,4,5
135,34,0,4,3.67,5,3,3,4,3,4,5,5,4,5,2,1,1,1,2
