id,usia,jenis_kelamin,jalur_registrasi,kecemasan_akademik,jarak_pokjar_km,keterlibatan_akademik,putus_studi
1,34,1,3,28,1.4,4.49,0
2,42,1,2,13,12.5,6.16,1
3,21,1,3,22,7.9,4.3,0
4,28,0,1,26,1.4,1.98,1
5,34,0,3,23,23.8,4.44,0
6,56,1,3,26,3.9,6.16,0
7,49,1,2,13,5.1,4.65,0
8,33,1,1,45,4.0,3.93,1
9,43,1,2,35,1.2,6.85,0
10,37,1,3,24,8.6,6.61,0
11,25,1,2,40,2.6,3.78,0
12,27,1,3,18,6.2,3.34,1
13,24,1,1,30,16.5,5.83,1
14,34,1,3,23,4.6,3.77,0
15,37,1,1,37,7.0,4.03,0
16,18,0,1,31,21.3,3.33,1
17,46,1,3,37,7.1,6.15,0
18,35,1,2,27,21.2,4.55,0
19,33,0,1,8,16.0,4.28,0
20,32,0,2,25,5.3,3.79,0
21,51,1,3,27,24.8,5.5,0
22,33,1,2,21,1.4,5.81,0
23,33,1,2,18,8.4,5.77,0
24,42,1,3,35,8.4,3.5,0
25,35,1,2,34,7.0,3.17,0
26,43,1,2,17,10.1,5.01,1
27,36,1,1,13,13.3,5.29,0
28,36,1,3,31,14.9,5.25,0
29,47,0,3,22,17.9,6.24,0
30,34,1,3,10,3.7,4.58,0
31,26,1,2,13,4.2,6.27,0
32,22,1,3,25,10.2,2.77,0
33,36,0,3,33,3.1,3.36,0
34,25,0,2,13,4.6,5.11,1
35,42,1,2,26,9.3,5.04,1
36,38,1,1,45,9.1,5.54,1
37,32,1,3,9,50.0,5.91,0
38,28,1,3,15,6.6,4.82,0
39,34,0,1,18,50.0,3.86,1
40,41,1,2,15,13.9,4.29,0
41,44,0,1,41,50.0,3.58,1
42,23,1,1,23,4.2,6.13,0
43,54,1,3,24,10.2,4.52,0
44,29,1,2,26,9.4,5.17,1
45,23,0,2,0,29.6,4.04,1
46,51,1,2,17,15.9,4.78,0
47,47,1,1,37,0.5,5.89,0
48,44,1,2,34,7.9,5.24,0
49,28,0,3,22,2.7,6.78,0
50,46,0,2,17,0.5,4.91,0
51,34,1,3,21,5.1,5.8,1
52,21,0,1,33,10.3,2.97,0
53,28,1,2,27,1.8,5.24,1
54,22,1,3,33,1.4,5.36,0
55,44,0,2,17,7.2,3.93,0
56,47,0,3,24,4.0,6.14,1
57,25,1,3,37,5.4,5.2,0
58,33,1,3,18,7.1,4.13,0
59,39,1,2,12,9.5,5.71,0
60,23,0,2,35,9.0,6.58,0
61,44,0,3,26,0.5,3.69,0
62,25,0,2,27,0.6,5.66,0
63,21,1,3,15,7.3,5.75,0
64,27,0,1,18,21.7,3.1,1
65,31,1,3,23,11.8,4.68,0
66,26,1,1,16,33.6,3.23,1
67,47,1,3,35,3.1,6.09,0
68,35,0,1,39,7.2,6.24,0
69,21,1,2,31,0.5,5.37,0
70,38,1,1,19,1.7,6.76,1
71,21,1,2,28,19.4,3.64,1
72,50,1,2,13,1.8,6.2,0
73,23,0,1,31,16.9,2.41,1
74,31,0,1,28,2.1,4.81,1
75,37,1,1,22,3.3,5.28,0
76,27,1,2,30,21.6,5.58,0
77,25,0,2,21,3.6,4.33,1
78,38,0,1,27,7.3,4.66,0
79,19,1,3,44,1.8,5.63,0
80,45,1,3,39,17.2,3.14,1
81,22,0,3,25,3.4,5.89,0
82,22,0,2,21,0.7,5.34,0
83,34,1,3,24,15.5,6.24,0
84,18,0,2,20,6.7,4.67,0
85,35,1,2,23,14.6,5.52,0
86,28,1,3,16,6.0,5.9,0
87,38,1,2,27,10.4,5.04,0
88,34,0,1,28,21.6,3.68,0
89,44,1,2,15,8.6,4.41,1
90,26,1,3,27,34.6,7.0,0
91,43,0,3,25,13.1,4.23,0
92,35,0,3,26,8.3,5.46,0
93,30,1,3,28,23.4,5.84,0
