id,usia,jenis_kelamin,status,pss_fam_1,pss_fam_2,pss_fam_3,pss_fam_4,pss_fri_1,pss_fri_2,pss_fri_3,pss_fri_4,pss_so_1,pss_so_2,pss_so_3,pss_so_4
1,30,0,menikah,2,5,3,2,2,1,1,2,3,4,1,1
2,34,0,menikah,3,3,4,4,6,5,7,6,3,6,6,5
3,38,1,belum menikah,2,3,1,1,3,1,1,1,4,4,5,3
4,36,1,belum menikah,3,2,4,4,1,5,3,2,3,2,3,4
5,33,0,belum menikah,1,1,1,1,3,4,3,5,3,2,1,4
6,36,1,belum menikah,3,5,4,3,6,6,6,5,4,2,4,3
7,21,1,belum menikah,7,7,7,6,6,3,7,6,6,7,7,6
8,26,1,belum menikah,4,6,2,7,1,1,1,1,4,5,7,4
9,21,0,belum menikah,4,2,4,3,1,1,1,1,1,2,2,2
10,28,0,belum menikah,6,7,7,7,7,7,5,5,5,6,4,5
11,21,1,belum menikah,3,2,2,6,3,3,3,3,3,1,2,1
12,35,1,belum menikah,3,2,1,1,5,6,6,6,6,4,5,6
13,36,1,belum menikah,3,4,6,3,5,2,5,1,2,5,6,5
14,25,0,belum menikah,4,4,4,3,4,4,4,4,2,3,2,2
15,34,1,belum menikah,7,6,7,7,5,4,2,6,7,7,6,7
16,36,0,menikah,6,7,7,5,6,4,4,3,3,5,4,4
17,21,1,bercerai,1,5,5,3,2,5,3,2,1,5,3,5
18,36,1,belum menikah,2,1,2,2,1,1,1,1,2,2,2,4
19,31,1,menikah,1,1,1,1,1,2,2,2,1,3,1,1
20,26,1,menikah,3,1,1,2,2,6,4,2,4,4,3,5
21,36,1,menikah,6,5,6,7,4,3,4,5,6,6,6,7
22,22,1,belum menikah,5,6,1,3,3,2,3,2,5,2,2,3
23,19,0,menikah,3,6,5,5,1,3,3,5,3,5,6,5
24,24,0,bercerai,4,5,4,4,3,2,6,2,6,4,7,5
25,25,1,belum menikah,5,6,7,7,4,7,3,7,5,5,4,6
26,36,0,belum menikah,7,6,7,2,6,4,2,6,7,5,6,3
27,24,0,belum menikah,2,3,2,6,4,3,2,4,3,2,3,5
28,32,1,belum menikah,6,7,7,6,5,7,6,6,6,4,6,3
29,30,1,belum menikah,6,7,7,7,7,7,7,6,5,7,6,5
30,34,1,menikah,7,7,7,7,7,7,5,6,7,7,7,7
31,18,1,menikah,7,7,6,5,4,4,5,2,3,5,7,2
32,37,1,belum menikah,4,4,2,3,5,3,4,5,2,5,3,6
33,23,1,belum menikah,7,7,5,7,6,6,7,7,4,4,7,6
34,39,0,menikah,3,4,1,1,6,5,5,2,2,2,4,2
35,28,1,menikah,4,2,3,3,1,5,2,6,6,3,5,2
36,34,0,menikah,5,6,6,7,5,6,5,6,7,7,7,7
37,22,1,belum menikah,1,3,1,1,2,6,4,3,3,2,3,3
38,19,0,menikah,2,2,2,4,2,2,3,1,5,2,5,6
39,35,1,belum menikah,4,2,3,3,3,3,2,3,3,4,2,2
40,18,1,menikah,4,5,6,5,7,7,7,6,7,6,6,6
41,24,0,belum menikah,7,6,7,5,6,7,7,7,7,3,6,6
42,38,1,menikah,5,4,3,4,3,5,4,7,5,7,7,5
43,37,1,belum menikah,3,4,6,5,7,7,7,6,6,6,6,3
44,34,1,belum menikah,3,5,2,5,5,5,3,2,2,3,5,3
45,20,1,belum menikah,2,1,1,2,2,5,5,7,3,6,6,4
46,28,1,menikah,6,6,5,5,7,7,5,6,5,3,4,3
47,26,1,belum menikah,5,4,5,5,4,3,3,2,6,4,6,6
48,38,0,belum menikah,4,5,4,6,5,1,4,5,4,4,6,4
49,24,0,belum menikah,1,3,1,3,6,3,3,4,7,3,4,4
50,18,0,belum menikah,4,4,4,4,2,4,2,4,4,5,4,7
51,37,1,belum menikah,4,5,6,7,4,4,5,4,3,5,2,3
52,26,1,bercerai,3,2,6,4,5,6,4,4,6,5,2,7
53,28,1,belum menikah,7,7,6,6,7,7,7,6,3,7,3,6
54,36,1,menikah,2,5,6,5,6,3,6,6,1,4,2,2
55,31,1,belum menikah,1,2,2,2,1,1,1,1,1,1,3,1
56,30,1,belum menikah,2,4,4,1,5,3,5,5,4,4,5,3
57,38,1,belum menikah,6,5,5,5,6,7,7,5,5,4,4,4
58,29,1,menikah,4,4,2,1,5,3,7,7,1,4,4,4
59,18,0,belum menikah,6,7,7,7,6,7,7,7,7,6,7,6
60,28,1,belum menikah,3,6,7,4,4,4,5,6,3,1,1,5
61,24,0,menikah,7,6,7,7,3,3,1,1,5,3,5,6
62,30,1,belum menikah,5,3,1,3,7,7,5,7,6,7,5,5
63,34,1,menikah,2,2,1,1,5,3,4,4,3,5,3,3
64,23,1,belum menikah,6,4,6,5,3,3,1,4,7,7,6,5
65,38,1,belum menikah,7,6,7,4,6,6,5,3,4,2,1,4
